position,team_name,team_id,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,form,top_scorer,top_scorer_goals,top_scorer_assists,top_scorer_penalties,fetched_at,source,win_rate,points_per_game,attack_efficiency,defence_efficiency,pythagorean_expectation,form_score,points_zscore,points_vs_expected,performance_rank,pipeline_run_at,pipeline_version
11,Manchester United FC,66,2,1,0,1,3,5,4,1,,Bruno Fernandes,3.0,1.0,1.0,2026-09-05T02:22:11.375799,football-data.org,0.49999999975,1.49999999925,2.49999999875,1.999999999,0.6097560975461036,,0.0221,-0.66,10.0,2026-09-05T02:22:11.394824,1.0.0
12,Sunderland AFC,71,2,1,0,1,3,2,2,0,,Nilson Angulo,1.0,,,2026-09-05T02:22:11.375799,football-data.org,0.49999999975,1.49999999925,0.9999999995,0.9999999995,0.4999999999375,,0.0221,0.0,10.0,2026-09-05T02:22:11.394824,1.0.0
13,Ipswich Town FC,349,3,1,0,2,3,4,8,-4,,Emersonn,1.0,,,2026-09-05T02:22:11.375799,football-data.org,0.3333333332222222,0.9999999996666666,1.3333333328888888,2.6666666657777776,0.19999999999749998,,0.0221,1.2,10.0,2026-09-05T02:22:11.394824,1.0.0
14,AFC Bournemouth,1044,2,0,1,1,1,2,3,-1,,,,,,2026-09-05T02:22:11.375799,football-data.org,0.0,0.49999999975,0.9999999995,1.49999999925,0.30769230766863903,,-0.8633,-0.85,14.0,2026-09-05T02:22:11.394824,1.0.0
14,Nottingham Forest FC,351,2,0,1,1,1,2,3,-1,,,,,,2026-09-05T02:22:11.375799,football-data.org,0.0,0.49999999975,0.9999999995,1.49999999925,0.30769230766863903,,-0.8633,-0.85,14.0,2026-09-05T02:22:11.394824,1.0.0
16,Fulham FC,63,2,0,0,2,0,2,4,-2,,,,,,2026-09-05T02:22:11.375799,football-data.org,0.0,0.0,0.9999999995,1.999999999,0.19999999999,,-1.3059,-1.2,16.0,2026-09-05T02:22:11.394824,1.0.0
17,Coventry City FC,1076,2,0,0,2,0,0,4,-4,,,,,,2026-09-05T02:22:11.375799,football-data.org,0.0,0.0,0.0,1.999999999,0.0,,-1.3059,0.0,16.0,2026-09-05T02:22:11.394824,1.0.0
18,Crystal Palace FC,354,2,0,0,2,0,1,6,-5,,,,,,2026-09-05T02:22:11.375799,football-data.org,0.0,0.0,0.49999999975,2.9999999985,0.027027027026296568,,-1.3059,-0.16,16.0,2026-09-05T02:22:11.394824,1.0.0
19,Aston Villa FC,58,2,0,0,2,0,0,5,-5,,,,,,2026-09-05T02:22:11.375799,football-data.org,0.0,0.0,0.0,2.49999999875,0.0,,-1.3059,0.0,16.0,2026-09-05T02:22:11.394824,1.0.0
19,Tottenham Hotspur FC,73,2,0,0,2,0,0,5,-5,,,,,,2026-09-05T02:22:11.375799,football-data.org,0.0,0.0,0.0,2.49999999875,0.0,,-1.3059,0.0,16.0,2026-09-05T02:22:11.394824,1.0.0
